model_type,setting,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
lstm,balanced,9,250,62.5,4.0,43,1.0,0.992,3.190932571110163,2.7374844834701544
lstm,balanced,10,250,62.5,4.0,44,1.0,0.968,3.8159686160479893,2.8661742835717394
lstm,balanced,11,250,62.5,4.0,19,1.0,0.972,3.3074050906955446,2.851418704273685
lstm,balanced,12,250,62.5,4.0,42,1.0,0.944,3.579891035060474,2.997988050365546
lstm,balanced,13,250,62.5,4.0,49,1.0,0.976,3.483809595756819,2.8214827018661492
lstm,balanced,14,250,62.5,4.0,39,1.0,0.988,3.458766906294368,2.7631929244000646
lstm,balanced,15,250,62.5,4.0,29,1.0,0.964,3.6212156001949927,2.9491159519283228
lstm,balanced,16,250,62.5,4.0,39,1.0,0.988,3.251094864667635,2.77550044778999
lstm,balanced,17,250,62.5,4.0,44,1.0,0.972,3.274018733232964,2.8487741765547936
lstm,balanced,18,250,62.5,4.0,49,1.0,0.856,3.9401732094702915,3.209102752852085
lstm,balanced,19,250,62.5,4.0,34,1.0,0.984,3.6769399246023196,2.803134015475773
lstm,balanced,20,250,62.5,4.0,44,1.0,0.948,3.701234537786058,2.9442282815063185
lstm,balanced,21,250,62.5,4.0,42,1.0,0.972,3.69873027842805,2.8877749025622985
lstm,balanced,22,250,62.5,4.0,43,1.0,0.972,3.327603751224779,2.8239845808553357
lstm,balanced,23,250,62.5,4.0,33,1.0,0.928,3.4950741924660695,2.9807947861039037
lstm,balanced,24,250,62.5,4.0,27,1.0,0.956,3.3157171476513563,2.876472038767651
lstm,balanced,25,250,62.5,4.0,42,1.0,0.932,3.664065456406352,3.045306388122171
lstm,balanced,26,250,62.5,4.0,41,1.0,0.964,3.6317897326615443,2.9086682099859553
lstm,balanced,27,250,62.5,4.0,49,1.0,0.964,3.646249802200498,2.820444599552264
lstm,balanced,28,250,62.5,4.0,42,1.0,0.96,3.5974183073035912,2.933442606113634
lstm,balanced,29,250,62.5,4.0,19,1.0,1.0,3.036841883385317,2.688823178016039
lstm,balanced,30,250,62.5,4.0,37,1.0,0.904,3.665615571551269,3.11560450839107
lstm,creative,1,250,62.5,4.0,52,1.0,0.848,4.521831644115337,3.2182109652887996
lstm,creative,2,250,62.5,4.0,52,1.0,0.812,4.487710508430511,3.361971623673938
lstm,creative,3,250,62.5,4.0,52,1.0,0.824,4.595749930705213,3.319860864045688
lstm,creative,4,250,62.5,4.0,50,1.0,0.812,4.939032101348399,3.3369642428397266
lstm,creative,5,250,62.5,4.0,52,1.0,0.844,4.284948644662782,3.3296092134743236
lstm,creative,6,250,62.5,4.0,49,1.0,0.76,4.435250251882992,3.3537645946435592
lstm,creative,7,250,62.5,4.0,51,1.0,0.728,4.967110684711301,3.426729615450855
lstm,creative,8,250,62.5,4.0,51,1.0,0.856,4.703151455391128,3.306468821906222
lstm,creative,9,250,62.5,4.0,49,1.0,0.872,4.8210113927653095,3.276827884124462
lstm,creative,10,250,62.5,4.0,52,1.0,0.872,4.4234624771038815,3.1892668275709877
lstm,creative,11,250,62.5,4.0,52,1.0,0.776,5.033036333203162,3.343005187850177
lstm,creative,12,250,62.5,4.0,50,1.0,0.904,4.465750832947496,3.1107129329567185
lstm,creative,13,250,62.5,4.0,52,1.0,0.756,4.90039182474766,3.3981224679103286
lstm,creative,14,250,62.5,4.0,52,1.0,0.832,4.534700129776938,3.3434893529811234
lstm,creative,15,250,62.5,4.0,51,1.0,0.808,4.363633089507127,3.3439511819631367
lstm,creative,16,250,62.5,4.0,52,1.0,0.752,5.051156500307419,3.4526751106949622
lstm,creative,17,250,62.5,4.0,49,1.0,0.84,4.722402781731528,3.287098801830222
lstm,creative,18,250,62.5,4.0,52,1.0,0.848,4.299380677726312,3.302502101104859
